date,route_id,total_trips,early_am_trips,peak_am_trips,midday_trips,peak_pm_trips,evening_pm_trips,late_pm_trips,local_trips,express_trips,typical_trips,atypical_trips
2019-11-04,CR-Franklin,53,4,9,16,11,8,5,1,52,53,0
2019-11-04,CR-Worcester,54,5,15,9,12,9,4,17,37,54,0
2019-11-04,CR-Providence,71,5,17,17,16,9,7,4,67,71,0
2019-11-04,CR-Fitchburg,38,1,9,12,8,5,3,4,34,38,0
2019-11-04,CR-Newburyport,67,3,16,18,15,9,6,67,0,67,0
2019-11-04,CR-Haverhill,42,2,10,11,12,4,3,22,20,42,0
2019-11-04,CR-Middleborough,24,2,5,8,6,2,1,10,14,24,0
2019-11-04,CR-Kingston,24,1,5,7,6,4,1,1,23,24,0
2019-11-04,CR-Fairmount,26,1,5,10,6,3,1,26,0,26,0
2019-11-04,CR-Lowell,50,4,11,14,12,6,3,6,44,50,0
2019-11-04,CR-Greenbush,24,1,5,8,6,2,2,2,22,24,0
2019-11-04,CR-Needham,32,1,7,9,8,5,2,24,8,32,0
2019-11-05,CR-Franklin,53,4,9,16,11,8,5,1,52,53,0
2019-11-05,CR-Worcester,54,5,15,9,12,9,4,17,37,54,0
2019-11-05,CR-Providence,71,5,17,17,16,9,7,4,67,71,0
2019-11-05,CR-Fitchburg,38,1,9,12,8,5,3,4,34,38,0
2019-11-05,CR-Newburyport,67,3,16,18,15,9,6,67,0,67,0
2019-11-05,CR-Haverhill,42,2,10,11,12,4,3,22,20,42,0
2019-11-05,CR-Middleborough,24,2,5,8,6,2,1,10,14,24,0
2019-11-05,CR-Kingston,24,1,5,7,6,4,1,1,23,24,0
2019-11-05,CR-Fairmount,26,1,5,10,6,3,1,26,0,26,0
2019-11-05,CR-Lowell,50,4,11,14,12,6,3,6,44,50,0
2019-11-05,CR-Greenbush,24,1,5,8,6,2,2,2,22,24,0
2019-11-05,CR-Needham,32,1,7,9,8,5,2,24,8,32,0
2019-11-06,CR-Franklin,53,4,9,16,11,8,5,1,52,53,0
2019-11-06,CR-Worcester,54,5,15,9,12,9,4,17,37,54,0
2019-11-06,CR-Providence,71,5,17,17,16,9,7,4,67,71,0
2019-11-06,CR-Fitchburg,38,1,9,12,8,5,3,4,34,38,0
2019-11-06,CR-Newburyport,67,3,16,18,15,9,6,67,0,67,0
2019-11-06,CR-Haverhill,42,2,10,11,12,4,3,22,20,42,0
2019-11-06,CR-Middleborough,24,2,5,8,6,2,1,10,14,24,0
2019-11-06,CR-Kingston,24,1,5,7,6,4,1,1,23,24,0
2019-11-06,CR-Fairmount,26,1,5,10,6,3,1,26,0,26,0
2019-11-06,CR-Lowell,50,4,11,14,12,6,3,6,44,50,0
2019-11-06,CR-Greenbush,24,1,5,8,6,2,2,2,22,24,0
2019-11-06,CR-Needham,32,1,7,9,8,5,2,24,8,32,0
2019-11-07,CR-Franklin,53,4,9,16,11,8,5,1,52,53,0
2019-11-07,CR-Worcester,54,5,15,9,12,9,4,17,37,54,0
2019-11-07,CR-Providence,71,5,17,17,16,9,7,4,67,71,0
2019-11-07,CR-Fitchburg,38,1,9,12,8,5,3,4,34,38,0
2019-11-07,CR-Newburyport,67,3,16,18,15,9,6,67,0,67,0
2019-11-07,CR-Haverhill,42,2,10,11,12,4,3,22,20,42,0
2019-11-07,CR-Middleborough,24,2,5,8,6,2,1,10,14,24,0
2019-11-07,CR-Kingston,24,1,5,7,6,4,1,1,23,24,0
2019-11-07,CR-Fairmount,26,1,5,10,6,3,1,26,0,26,0
2019-11-07,CR-Lowell,50,4,11,14,12,6,3,6,44,50,0
2019-11-07,CR-Greenbush,24,1,5,8,6,2,2,2,22,24,0
2019-11-07,CR-Needham,32,1,7,9,8,5,2,24,8,32,0
2019-11-08,CR-Franklin,53,4,9,16,11,8,5,1,52,53,0
2019-11-08,CR-Worcester,54,5,15,9,12,9,4,17,37,54,0
2019-11-08,CR-Providence,71,5,17,17,16,9,7,4,67,71,0
2019-11-08,CR-Fitchburg,38,1,9,12,8,5,3,4,34,38,0
2019-11-08,CR-Newburyport,67,3,16,18,15,9,6,67,0,67,0
2019-11-08,CR-Haverhill,42,2,10,11,12,4,3,22,20,42,0
2019-11-08,CR-Middleborough,24,2,5,8,6,2,1,10,14,24,0
2019-11-08,CR-Kingston,24,1,5,7,6,4,1,1,23,24,0
2019-11-08,CR-Fairmount,26,1,5,10,6,3,1,26,0,26,0
2019-11-08,CR-Lowell,50,4,11,14,12,6,3,6,44,50,0
2019-11-08,CR-Greenbush,24,1,5,8,6,2,2,2,22,24,0
2019-11-08,CR-Needham,32,1,7,9,8,5,2,24,8,32,0
2019-11-09,CR-Providence,18,0,3,7,3,4,1,18,0,18,0
2019-11-09,CR-Fitchburg,14,0,1,8,2,2,1,14,0,0,14
2019-11-09,CR-Worcester,18,0,2,8,4,2,2,18,0,18,0
2019-11-09,CR-Middleborough,16,0,3,7,2,3,1,7,9,16,0
2019-11-09,CR-Needham,36,0,7,12,6,6,5,36,0,36,0
2019-11-09,CR-Kingston,16,0,3,7,3,1,2,6,10,16,0
2019-11-09,CR-Lowell,16,0,3,6,4,2,1,16,0,16,0
2019-11-09,CR-Newburyport,26,0,3,12,4,4,3,26,0,26,0
2019-11-09,CR-Greenbush,16,0,2,9,2,2,1,16,0,16,0
2019-11-09,CR-Haverhill,12,0,2,4,2,2,2,12,0,12,0
2019-11-09,CR-Fairmount,32,0,5,13,6,6,2,32,0,32,0
2019-11-10,CR-Fitchburg,14,0,1,8,2,2,1,14,0,0,14
2019-11-10,CR-Worcester,18,0,2,8,4,2,2,18,0,18,0
2019-11-10,CR-Middleborough,16,0,3,7,2,3,1,7,9,16,0
2019-11-10,CR-Kingston,16,0,3,7,3,1,2,6,10,16,0
2019-11-10,CR-Lowell,16,0,3,6,4,2,1,16,0,16,0
2019-11-10,CR-Newburyport,26,0,3,12,4,4,3,26,0,26,0
2019-11-10,CR-Greenbush,16,0,2,9,2,2,1,16,0,16,0
2019-11-10,CR-Haverhill,12,0,2,4,2,2,2,12,0,12,0
2019-11-10,CR-Fairmount,32,0,5,13,6,6,2,32,0,32,0
2019-11-10,CR-Providence,14,0,0,6,3,4,1,14,0,14,0
2019-11-11,CR-Franklin,53,4,9,16,11,8,5,1,52,53,0
2019-11-11,CR-Worcester,54,5,15,9,12,9,4,17,37,54,0
2019-11-11,CR-Providence,71,5,17,17,16,9,7,4,67,71,0
2019-11-11,CR-Fitchburg,38,1,9,12,8,5,3,4,34,38,0
2019-11-11,CR-Newburyport,67,3,16,18,15,9,6,67,0,67,0
2019-11-11,CR-Haverhill,42,2,10,11,12,4,3,22,20,42,0
2019-11-11,CR-Middleborough,24,2,5,8,6,2,1,10,14,24,0
2019-11-11,CR-Kingston,24,1,5,7,6,4,1,1,23,24,0
2019-11-11,CR-Fairmount,26,1,5,10,6,3,1,26,0,26,0
2019-11-11,CR-Lowell,50,4,11,14,12,6,3,6,44,50,0
2019-11-11,CR-Greenbush,24,1,5,8,6,2,2,2,22,24,0
2019-11-11,CR-Needham,32,1,7,9,8,5,2,24,8,32,0
2019-11-12,CR-Franklin,53,4,9,16,11,8,5,1,52,53,0
2019-11-12,CR-Worcester,54,5,15,9,12,9,4,17,37,54,0
2019-11-12,CR-Providence,71,5,17,17,16,9,7,4,67,71,0
2019-11-12,CR-Fitchburg,38,1,9,12,8,5,3,4,34,38,0
2019-11-12,CR-Newburyport,67,3,16,18,15,9,6,67,0,67,0
2019-11-12,CR-Haverhill,42,2,10,11,12,4,3,22,20,42,0
2019-11-12,CR-Middleborough,24,2,5,8,6,2,1,10,14,24,0
2019-11-12,CR-Kingston,24,1,5,7,6,4,1,1,23,24,0
2019-11-12,CR-Fairmount,26,1,5,10,6,3,1,26,0,26,0
2019-11-12,CR-Lowell,50,4,11,14,12,6,3,6,44,50,0
2019-11-12,CR-Greenbush,24,1,5,8,6,2,2,2,22,24,0
2019-11-12,CR-Needham,32,1,7,9,8,5,2,24,8,32,0
2019-11-13,CR-Franklin,53,4,9,16,11,8,5,1,52,53,0
2019-11-13,CR-Worcester,54,5,15,9,12,9,4,17,37,54,0
2019-11-13,CR-Providence,71,5,17,17,16,9,7,4,67,71,0
2019-11-13,CR-Fitchburg,38,1,9,12,8,5,3,4,34,38,0
2019-11-13,CR-Newburyport,67,3,16,18,15,9,6,67,0,67,0
2019-11-13,CR-Haverhill,42,2,10,11,12,4,3,22,20,42,0
2019-11-13,CR-Middleborough,24,2,5,8,6,2,1,10,14,24,0
2019-11-13,CR-Kingston,24,1,5,7,6,4,1,1,23,24,0
2019-11-13,CR-Fairmount,26,1,5,10,6,3,1,26,0,26,0
2019-11-13,CR-Lowell,50,4,11,14,12,6,3,6,44,50,0
2019-11-13,CR-Greenbush,24,1,5,8,6,2,2,2,22,24,0
2019-11-13,CR-Needham,32,1,7,9,8,5,2,24,8,32,0
2019-11-14,CR-Franklin,53,4,9,16,11,8,5,1,52,53,0
2019-11-14,CR-Worcester,54,5,15,9,12,9,4,17,37,54,0
2019-11-14,CR-Providence,71,5,17,17,16,9,7,4,67,71,0
2019-11-14,CR-Fitchburg,38,1,9,12,8,5,3,4,34,38,0
2019-11-14,CR-Newburyport,67,3,16,18,15,9,6,67,0,67,0
2019-11-14,CR-Haverhill,42,2,10,11,12,4,3,22,20,42,0
2019-11-14,CR-Middleborough,24,2,5,8,6,2,1,10,14,24,0
2019-11-14,CR-Kingston,24,1,5,7,6,4,1,1,23,24,0
2019-11-14,CR-Fairmount,26,1,5,10,6,3,1,26,0,26,0
2019-11-14,CR-Lowell,50,4,11,14,12,6,3,6,44,50,0
2019-11-14,CR-Greenbush,24,1,5,8,6,2,2,2,22,24,0
2019-11-14,CR-Needham,32,1,7,9,8,5,2,24,8,32,0
2019-11-15,CR-Franklin,53,4,9,16,11,8,5,1,52,53,0
2019-11-15,CR-Worcester,54,5,15,9,12,9,4,17,37,54,0
2019-11-15,CR-Providence,71,5,17,17,16,9,7,4,67,71,0
2019-11-15,CR-Fitchburg,38,1,9,12,8,5,3,4,34,38,0
2019-11-15,CR-Newburyport,67,3,16,18,15,9,6,67,0,67,0
2019-11-15,CR-Haverhill,42,2,10,11,12,4,3,22,20,42,0
2019-11-15,CR-Middleborough,24,2,5,8,6,2,1,10,14,24,0
2019-11-15,CR-Kingston,24,1,5,7,6,4,1,1,23,24,0
2019-11-15,CR-Fairmount,26,1,5,10,6,3,1,26,0,26,0
2019-11-15,CR-Lowell,50,4,11,14,12,6,3,6,44,50,0
2019-11-15,CR-Greenbush,24,1,5,8,6,2,2,2,22,24,0
2019-11-15,CR-Needham,32,1,7,9,8,5,2,24,8,32,0
2019-11-16,CR-Providence,18,0,3,7,3,4,1,18,0,18,0
2019-11-16,CR-Fitchburg,14,0,1,8,2,2,1,14,0,14,0
2019-11-16,CR-Worcester,18,0,2,8,4,2,2,18,0,18,0
2019-11-16,CR-Middleborough,16,0,3,7,2,3,1,7,9,16,0
2019-11-16,CR-Kingston,16,0,3,7,3,1,2,6,10,16,0
2019-11-16,CR-Lowell,16,0,3,6,4,2,1,16,0,16,0
2019-11-16,CR-Newburyport,26,0,3,12,4,4,3,26,0,26,0
2019-11-16,CR-Needham,18,0,3,6,3,3,3,17,1,18,0
2019-11-16,CR-Greenbush,16,0,2,9,2,2,1,16,0,16,0
2019-11-16,CR-Haverhill,12,0,2,4,2,2,2,12,0,12,0
2019-11-16,CR-Fairmount,32,0,5,13,6,6,2,32,0,32,0
2019-11-17,CR-Fitchburg,14,0,1,8,2,2,1,14,0,14,0
2019-11-17,CR-Worcester,18,0,2,8,4,2,2,18,0,18,0
2019-11-17,CR-Middleborough,16,0,3,7,2,3,1,7,9,16,0
2019-11-17,CR-Kingston,16,0,3,7,3,1,2,6,10,16,0
2019-11-17,CR-Lowell,16,0,3,6,4,2,1,16,0,16,0
2019-11-17,CR-Newburyport,26,0,3,12,4,4,3,26,0,26,0
2019-11-17,CR-Greenbush,16,0,2,9,2,2,1,16,0,16,0
2019-11-17,CR-Haverhill,12,0,2,4,2,2,2,12,0,12,0
2019-11-17,CR-Fairmount,32,0,5,13,6,6,2,32,0,32,0
2019-11-17,CR-Providence,14,0,0,6,3,4,1,14,0,14,0
2019-11-18,CR-Franklin,53,4,9,16,11,8,5,1,52,53,0
2019-11-18,CR-Worcester,54,5,15,9,12,9,4,17,37,54,0
2019-11-18,CR-Providence,71,5,17,17,16,9,7,4,67,71,0
2019-11-18,CR-Fitchburg,38,1,9,12,8,5,3,4,34,38,0
2019-11-18,CR-Newburyport,67,3,16,18,15,9,6,67,0,67,0
2019-11-18,CR-Haverhill,42,2,10,11,12,4,3,22,20,42,0
2019-11-18,CR-Middleborough,24,2,5,8,6,2,1,10,14,24,0
2019-11-18,CR-Kingston,24,1,5,7,6,4,1,1,23,24,0
2019-11-18,CR-Fairmount,26,1,5,10,6,3,1,26,0,26,0
2019-11-18,CR-Lowell,50,4,11,14,12,6,3,6,44,50,0
2019-11-18,CR-Greenbush,24,1,5,8,6,2,2,2,22,24,0
2019-11-18,CR-Needham,32,1,7,9,8,5,2,24,8,32,0
2019-11-19,CR-Franklin,53,4,9,16,11,8,5,1,52,53,0
2019-11-19,CR-Worcester,54,5,15,9,12,9,4,17,37,54,0
2019-11-19,CR-Providence,71,5,17,17,16,9,7,4,67,71,0
2019-11-19,CR-Fitchburg,38,1,9,12,8,5,3,4,34,38,0
2019-11-19,CR-Newburyport,67,3,16,18,15,9,6,67,0,67,0
2019-11-19,CR-Haverhill,42,2,10,11,12,4,3,22,20,42,0
2019-11-19,CR-Middleborough,24,2,5,8,6,2,1,10,14,24,0
2019-11-19,CR-Kingston,24,1,5,7,6,4,1,1,23,24,0
2019-11-19,CR-Fairmount,26,1,5,10,6,3,1,26,0,26,0
2019-11-19,CR-Lowell,50,4,11,14,12,6,3,6,44,50,0
2019-11-19,CR-Greenbush,24,1,5,8,6,2,2,2,22,24,0
2019-11-19,CR-Needham,32,1,7,9,8,5,2,24,8,32,0
2019-11-20,CR-Franklin,53,4,9,16,11,8,5,1,52,53,0
2019-11-20,CR-Worcester,54,5,15,9,12,9,4,17,37,54,0
2019-11-20,CR-Providence,71,5,17,17,16,9,7,4,67,71,0
2019-11-20,CR-Fitchburg,38,1,9,12,8,5,3,4,34,38,0
2019-11-20,CR-Newburyport,67,3,16,18,15,9,6,67,0,67,0
2019-11-20,CR-Haverhill,42,2,10,11,12,4,3,22,20,42,0
2019-11-20,CR-Middleborough,24,2,5,8,6,2,1,10,14,24,0
2019-11-20,CR-Kingston,24,1,5,7,6,4,1,1,23,24,0
2019-11-20,CR-Fairmount,26,1,5,10,6,3,1,26,0,26,0
2019-11-20,CR-Lowell,50,4,11,14,12,6,3,6,44,50,0
2019-11-20,CR-Greenbush,24,1,5,8,6,2,2,2,22,24,0
2019-11-20,CR-Needham,32,1,7,9,8,5,2,24,8,32,0
2019-11-21,CR-Franklin,53,4,9,16,11,8,5,1,52,53,0
2019-11-21,CR-Worcester,54,5,15,9,12,9,4,17,37,54,0
2019-11-21,CR-Providence,71,5,17,17,16,9,7,4,67,71,0
2019-11-21,CR-Fitchburg,38,1,9,12,8,5,3,4,34,38,0
2019-11-21,CR-Newburyport,67,3,16,18,15,9,6,67,0,67,0
2019-11-21,CR-Haverhill,42,2,10,11,12,4,3,22,20,42,0
2019-11-21,CR-Middleborough,24,2,5,8,6,2,1,10,14,24,0
2019-11-21,CR-Kingston,24,1,5,7,6,4,1,1,23,24,0
2019-11-21,CR-Fairmount,26,1,5,10,6,3,1,26,0,26,0
2019-11-21,CR-Lowell,50,4,11,14,12,6,3,6,44,50,0
2019-11-21,CR-Greenbush,24,1,5,8,6,2,2,2,22,24,0
2019-11-21,CR-Needham,32,1,7,9,8,5,2,24,8,32,0
2019-11-22,CR-Franklin,53,4,9,16,11,8,5,1,52,53,0
2019-11-22,CR-Worcester,54,5,15,9,12,9,4,17,37,54,0
2019-11-22,CR-Providence,71,5,17,17,16,9,7,4,67,71,0
2019-11-22,CR-Fitchburg,38,1,9,12,8,5,3,4,34,38,0
2019-11-22,CR-Newburyport,67,3,16,18,15,9,6,67,0,67,0
2019-11-22,CR-Haverhill,42,2,10,11,12,4,3,22,20,42,0
2019-11-22,CR-Middleborough,24,2,5,8,6,2,1,10,14,24,0
2019-11-22,CR-Kingston,24,1,5,7,6,4,1,1,23,24,0
2019-11-22,CR-Fairmount,26,1,5,10,6,3,1,26,0,26,0
2019-11-22,CR-Lowell,50,4,11,14,12,6,3,6,44,50,0
2019-11-22,CR-Greenbush,24,1,5,8,6,2,2,2,22,24,0
2019-11-22,CR-Needham,32,1,7,9,8,5,2,24,8,32,0
2019-11-23,CR-Providence,18,0,3,7,3,4,1,18,0,18,0
2019-11-23,CR-Fitchburg,14,0,1,8,2,2,1,14,0,14,0
2019-11-23,CR-Worcester,18,0,2,8,4,2,2,18,0,18,0
2019-11-23,CR-Middleborough,16,0,3,7,2,3,1,7,9,16,0
2019-11-23,CR-Kingston,16,0,3,7,3,1,2,6,10,16,0
2019-11-23,CR-Lowell,16,0,3,6,4,2,1,16,0,16,0
2019-11-23,CR-Newburyport,26,0,3,12,4,4,3,26,0,26,0
2019-11-23,CR-Needham,18,0,3,6,3,3,3,17,1,18,0
2019-11-23,CR-Haverhill,12,0,2,4,2,2,2,12,0,12,0
2019-11-23,CR-Fairmount,32,0,5,13,6,6,2,32,0,32,0
2019-11-23,CR-Greenbush,15,0,1,9,2,2,1,15,0,0,15
2019-11-24,CR-Fitchburg,14,0,1,8,2,2,1,14,0,14,0
2019-11-24,CR-Worcester,18,0,2,8,4,2,2,18,0,18,0
2019-11-24,CR-Middleborough,16,0,3,7,2,3,1,7,9,16,0
2019-11-24,CR-Kingston,16,0,3,7,3,1,2,6,10,16,0
2019-11-24,CR-Lowell,16,0,3,6,4,2,1,16,0,16,0
2019-11-24,CR-Newburyport,26,0,3,12,4,4,3,26,0,26,0
2019-11-24,CR-Greenbush,16,0,2,9,2,2,1,16,0,16,0
2019-11-24,CR-Haverhill,12,0,2,4,2,2,2,12,0,12,0
2019-11-24,CR-Fairmount,32,0,5,13,6,6,2,32,0,32,0
2019-11-24,CR-Providence,14,0,0,6,3,4,1,14,0,14,0
2019-11-24,CR-Foxboro,2,0,0,2,0,0,0,1,1,0,2
2019-11-25,CR-Franklin,53,4,9,16,11,8,5,1,52,53,0
2019-11-25,CR-Worcester,54,5,15,9,12,9,4,17,37,54,0
2019-11-25,CR-Providence,71,5,17,17,16,9,7,4,67,71,0
2019-11-25,CR-Fitchburg,38,1,9,12,8,5,3,4,34,38,0
2019-11-25,CR-Newburyport,67,3,16,18,15,9,6,67,0,67,0
2019-11-25,CR-Haverhill,42,2,10,11,12,4,3,22,20,42,0
2019-11-25,CR-Middleborough,24,2,5,8,6,2,1,10,14,24,0
2019-11-25,CR-Kingston,24,1,5,7,6,4,1,1,23,24,0
2019-11-25,CR-Fairmount,26,1,5,10,6,3,1,26,0,26,0
2019-11-25,CR-Lowell,50,4,11,14,12,6,3,6,44,50,0
2019-11-25,CR-Greenbush,24,1,5,8,6,2,2,2,22,24,0
2019-11-25,CR-Needham,32,1,7,9,8,5,2,24,8,32,0
2019-11-26,CR-Franklin,53,4,9,16,11,8,5,1,52,53,0
2019-11-26,CR-Worcester,54,5,15,9,12,9,4,17,37,54,0
2019-11-26,CR-Providence,71,5,17,17,16,9,7,4,67,71,0
2019-11-26,CR-Fitchburg,38,1,9,12,8,5,3,4,34,38,0
2019-11-26,CR-Newburyport,67,3,16,18,15,9,6,67,0,67,0
2019-11-26,CR-Haverhill,42,2,10,11,12,4,3,22,20,42,0
2019-11-26,CR-Middleborough,24,2,5,8,6,2,1,10,14,24,0
2019-11-26,CR-Kingston,24,1,5,7,6,4,1,1,23,24,0
2019-11-26,CR-Fairmount,26,1,5,10,6,3,1,26,0,26,0
2019-11-26,CR-Lowell,50,4,11,14,12,6,3,6,44,50,0
2019-11-26,CR-Greenbush,24,1,5,8,6,2,2,2,22,24,0
2019-11-26,CR-Needham,32,1,7,9,8,5,2,24,8,32,0
2019-11-27,CR-Franklin,53,4,9,16,11,8,5,1,52,53,0
2019-11-27,CR-Worcester,54,5,15,9,12,9,4,17,37,54,0
2019-11-27,CR-Providence,71,5,17,17,16,9,7,4,67,71,0
2019-11-27,CR-Fitchburg,38,1,9,12,8,5,3,4,34,38,0
2019-11-27,CR-Newburyport,67,3,16,18,15,9,6,67,0,67,0
2019-11-27,CR-Haverhill,42,2,10,11,12,4,3,22,20,42,0
2019-11-27,CR-Middleborough,24,2,5,8,6,2,1,10,14,24,0
2019-11-27,CR-Kingston,24,1,5,7,6,4,1,1,23,24,0
2019-11-27,CR-Fairmount,26,1,5,10,6,3,1,26,0,26,0
2019-11-27,CR-Lowell,50,4,11,14,12,6,3,6,44,50,0
2019-11-27,CR-Greenbush,24,1,5,8,6,2,2,2,22,24,0
2019-11-27,CR-Needham,32,1,7,9,8,5,2,24,8,32,0
2019-11-28,CR-Fitchburg,14,0,1,8,2,2,1,14,0,14,0
2019-11-28,CR-Worcester,18,0,2,8,4,2,2,18,0,18,0
2019-11-28,CR-Middleborough,16,0,3,7,2,3,1,7,9,16,0
2019-11-28,CR-Kingston,16,0,3,7,3,1,2,6,10,16,0
2019-11-28,CR-Lowell,16,0,3,6,4,2,1,16,0,16,0
2019-11-28,CR-Newburyport,26,0,3,12,4,4,3,26,0,26,0
2019-11-28,CR-Greenbush,16,0,2,9,2,2,1,16,0,16,0
2019-11-28,CR-Haverhill,12,0,2,4,2,2,2,12,0,12,0
2019-11-28,CR-Fairmount,32,0,5,13,6,6,2,32,0,32,0
2019-11-28,CR-Franklin,14,0,0,6,3,3,2,14,0,14,0
2019-11-28,CR-Providence,14,0,0,6,3,4,1,14,0,14,0
2019-11-29,CR-Franklin,53,4,9,16,11,8,5,1,52,53,0
2019-11-29,CR-Worcester,54,5,15,9,12,9,4,17,37,54,0
2019-11-29,CR-Providence,71,5,17,17,16,9,7,4,67,71,0
2019-11-29,CR-Fitchburg,38,1,9,12,8,5,3,4,34,38,0
2019-11-29,CR-Newburyport,67,3,16,18,15,9,6,67,0,67,0
2019-11-29,CR-Haverhill,42,2,10,11,12,4,3,22,20,42,0
2019-11-29,CR-Middleborough,24,2,5,8,6,2,1,10,14,24,0
2019-11-29,CR-Kingston,24,1,5,7,6,4,1,1,23,24,0
2019-11-29,CR-Fairmount,26,1,5,10,6,3,1,26,0,26,0
2019-11-29,CR-Lowell,50,4,11,14,12,6,3,6,44,50,0
2019-11-29,CR-Greenbush,24,1,5,8,6,2,2,2,22,24,0
2019-11-29,CR-Needham,32,1,7,9,8,5,2,24,8,32,0
2019-11-30,CR-Providence,18,0,3,7,3,4,1,18,0,18,0
2019-11-30,CR-Fitchburg,14,0,1,8,2,2,1,14,0,14,0
2019-11-30,CR-Franklin,18,0,3,7,3,3,2,18,0,18,0
2019-11-30,CR-Worcester,18,0,2,8,4,2,2,18,0,18,0
2019-11-30,CR-Middleborough,16,0,3,7,2,3,1,7,9,16,0
2019-11-30,CR-Kingston,16,0,3,7,3,1,2,6,10,16,0
2019-11-30,CR-Lowell,16,0,3,6,4,2,1,16,0,16,0
2019-11-30,CR-Newburyport,26,0,3,12,4,4,3,26,0,26,0
2019-11-30,CR-Needham,18,0,3,6,3,3,3,17,1,18,0
2019-11-30,CR-Greenbush,16,0,2,9,2,2,1,16,0,16,0
2019-11-30,CR-Haverhill,12,0,2,4,2,2,2,12,0,12,0
2019-11-30,CR-Fairmount,32,0,5,13,6,6,2,32,0,32,0
2019-12-01,CR-Fitchburg,14,0,1,8,2,2,1,14,0,14,0
2019-12-01,CR-Worcester,18,0,2,8,4,2,2,18,0,18,0
2019-12-01,CR-Middleborough,16,0,3,7,2,3,1,7,9,16,0
2019-12-01,CR-Kingston,16,0,3,7,3,1,2,6,10,16,0
2019-12-01,CR-Lowell,16,0,3,6,4,2,1,16,0,16,0
2019-12-01,CR-Newburyport,26,0,3,12,4,4,3,26,0,26,0
2019-12-01,CR-Greenbush,16,0,2,9,2,2,1,16,0,16,0
2019-12-01,CR-Haverhill,12,0,2,4,2,2,2,12,0,12,0
2019-12-01,CR-Fairmount,32,0,5,13,6,6,2,32,0,32,0
2019-12-01,CR-Franklin,14,0,0,6,3,3,2,14,0,14,0
2019-12-01,CR-Providence,14,0,0,6,3,4,1,14,0,14,0
2019-12-02,CR-Franklin,53,4,9,16,11,8,5,1,52,53,0
2019-12-02,CR-Worcester,54,5,15,9,12,9,4,17,37,54,0
2019-12-02,CR-Providence,71,5,17,17,16,9,7,4,67,71,0
2019-12-02,CR-Fitchburg,38,1,9,12,8,5,3,4,34,38,0
2019-12-02,CR-Newburyport,67,3,16,18,15,9,6,67,0,67,0
2019-12-02,CR-Haverhill,42,2,10,11,12,4,3,22,20,42,0
2019-12-02,CR-Middleborough,24,2,5,8,6,2,1,10,14,24,0
2019-12-02,CR-Kingston,24,1,5,7,6,4,1,1,23,24,0
2019-12-02,CR-Fairmount,26,1,5,10,6,3,1,26,0,26,0
2019-12-02,CR-Lowell,50,4,11,14,12,6,3,6,44,50,0
2019-12-02,CR-Greenbush,24,1,5,8,6,2,2,2,22,24,0
2019-12-02,CR-Needham,32,1,7,9,8,5,2,24,8,32,0
2019-12-03,CR-Franklin,53,4,9,16,11,8,5,1,52,53,0
2019-12-03,CR-Worcester,54,5,15,9,12,9,4,17,37,54,0
2019-12-03,CR-Providence,71,5,17,17,16,9,7,4,67,71,0
2019-12-03,CR-Fitchburg,38,1,9,12,8,5,3,4,34,38,0
2019-12-03,CR-Newburyport,67,3,16,18,15,9,6,67,0,67,0
2019-12-03,CR-Haverhill,42,2,10,11,12,4,3,22,20,42,0
2019-12-03,CR-Middleborough,24,2,5,8,6,2,1,10,14,24,0
2019-12-03,CR-Kingston,24,1,5,7,6,4,1,1,23,24,0
2019-12-03,CR-Fairmount,26,1,5,10,6,3,1,26,0,26,0
2019-12-03,CR-Lowell,50,4,11,14,12,6,3,6,44,50,0
2019-12-03,CR-Greenbush,24,1,5,8,6,2,2,2,22,24,0
2019-12-03,CR-Needham,32,1,7,9,8,5,2,24,8,32,0
2019-12-04,CR-Franklin,53,4,9,16,11,8,5,1,52,53,0
2019-12-04,CR-Worcester,54,5,15,9,12,9,4,17,37,54,0
2019-12-04,CR-Providence,71,5,17,17,16,9,7,4,67,71,0
2019-12-04,CR-Fitchburg,38,1,9,12,8,5,3,4,34,38,0
2019-12-04,CR-Newburyport,67,3,16,18,15,9,6,67,0,67,0
2019-12-04,CR-Haverhill,42,2,10,11,12,4,3,22,20,42,0
2019-12-04,CR-Middleborough,24,2,5,8,6,2,1,10,14,24,0
2019-12-04,CR-Kingston,24,1,5,7,6,4,1,1,23,24,0
2019-12-04,CR-Fairmount,26,1,5,10,6,3,1,26,0,26,0
2019-12-04,CR-Lowell,50,4,11,14,12,6,3,6,44,50,0
2019-12-04,CR-Greenbush,24,1,5,8,6,2,2,2,22,24,0
2019-12-04,CR-Needham,32,1,7,9,8,5,2,24,8,32,0
2019-12-05,CR-Franklin,53,4,9,16,11,8,5,1,52,53,0
2019-12-05,CR-Worcester,54,5,15,9,12,9,4,17,37,54,0
2019-12-05,CR-Providence,71,5,17,17,16,9,7,4,67,71,0
2019-12-05,CR-Fitchburg,38,1,9,12,8,5,3,4,34,38,0
2019-12-05,CR-Newburyport,67,3,16,18,15,9,6,67,0,67,0
2019-12-05,CR-Haverhill,42,2,10,11,12,4,3,22,20,42,0
2019-12-05,CR-Middleborough,24,2,5,8,6,2,1,10,14,24,0
2019-12-05,CR-Kingston,24,1,5,7,6,4,1,1,23,24,0
2019-12-05,CR-Fairmount,26,1,5,10,6,3,1,26,0,26,0
